,COMPOUND_ID,PCT_IHB_3D7,pXC50_3D7,SMILES
76,541439,100.0,6.0692,Cc1ccc(cc1)CNC(=O)[C@H](Cc2ccccc2)Nc3cc(nc(n3)Nc4ccccc4)C.C(=O)(C(F)(F)F)O
77,538310,90.0,5.9764800000000005,c1ccc2c(c1)[nH]c(n2)c3ccc(s3)c4ccc(cc4)NC(=O)Cc5c[nH]cn5
78,538395,99.0,6.25229,c1cc(cc(c1)F)CNC(=O)c2ccc(c(c2)c3cc(cc(c3)Cl)Cl)O
79,507894,100.0,6.70631,CCN(CC)CCNc1ccc(cc1)Nc2ccnc3c2cc4ccccc4c3
80,539245,97.0,6.13241,COc1ccc2c(n1)c(ccn2)[C@H](CN3CCC(CC3)c4cc([nH]n4)c5ccc(cc5)Cl)O
81,542148,100.0,6.85392,CN1CCC(CC1)N2CCN(CC2)Cc3cccc(c3)c4ccc(cc4)c5[nH]c6ccc(cc6n5)C(F)(F)F.C(=O)(C(F)(F)F)O
82,539330,86.0,6.06119,CC(=O)c1cccc(c1)Nc2[nH]c3c(n2)ccc(c3C#N)OCc4cc(cc(c4)Cl)Cl
83,539362,86.0,6.02345,c1ccc(cc1)COc2ccc(cc2)COc3ccc(cc3)Cn4ccnc4
84,539402,100.0,6.17323,c1ccc(cc1)Nc2nc(nc(n2)NN=Cc3cc(cc(c3O)Cl)Cl)Nc4ccc(cc4)N(=O)=O
85,538808,93.0,5.86602,CCn1c2c(cnc(c2nc1c3c(non3)N)c4ccc(o4)CO)OCCCN.C(=O)(C(F)(F)F)O
86,538846,100.0,6.26564,c1cc2c(cc1c3ccncc3)c(ncc2c4ccc5c(c4)cc[nH]5)N
87,541984,93.0,5.99504,C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@@]1([C@@H](C[C@@]([C@H]([C@@H]3C)O)(C)C=C)OC(=O)NC(=O)C4CCN(CC4)C(=O)CSc5ccccc5)C
88,538889,92.0,5.9719,Cc1c(nc(s1)N2CCN(CC2)C)C(=O)Nc3ccc(cc3C(F)(F)F)F.C(=O)(C(F)(F)F)O
